Acquired Date,Revenue
9/25/2008,268784
10/1/2006,269205
11/13/2004,269240
11/13/2004,269420
11/13/2004,269561
11/13/2004,269732
9/25/2008,269759
11/13/2004,269779
11/13/2004,270139
9/25/2008,270454
11/13/2004,270649
11/13/2004,270746
9/25/2008,271286
11/13/2004,271403
9/25/2008,271705
9/25/2008,271815
11/13/2004,271842
9/25/2008,271864
9/25/2008,272169
11/13/2004,272219
11/13/2004,272269
9/25/2008,272358
9/25/2008,272502
11/13/2004,272731
9/25/2008,273215
11/13/2004,273326
9/25/2008,273483
9/25/2008,273765
9/25/2008,273784
11/13/2004,273901
9/25/2008,273968
9/25/2008,274137
11/13/2004,274314
9/25/2008,274493
9/25/2008,274545
9/25/2008,274545
9/25/2008,274585
11/13/2004,274881
11/13/2004,275274
11/13/2004,275287
11/13/2004,275682
7/14/1996,275800
11/13/2004,276471
11/13/2004,276675
11/13/2004,276700
11/13/2004,277002
10/1/2006,277011
9/25/2008,277522
9/25/2008,277652
9/25/2008,277677
9/25/2008,277680
11/13/2004,278092
9/25/2008,278366
11/13/2004,278527
11/13/2004,278688
11/13/2004,278791
9/25/2008,278896
9/25/2008,278916
9/25/2008,278966
11/13/2004,279101
10/1/2006,279630
11/13/2004,280035
9/25/2008,280105
9/25/2008,280187
9/25/2008,280338
9/25/2008,280890
9/25/2008,280893
9/25/2008,280995
9/25/2008,281009
11/13/2004,281273
9/25/2008,281452
9/25/2008,281457
11/13/2004,281768
10/1/2006,281799
9/25/2008,282085
9/25/2008,282349
11/13/2004,282537
10/1/2006,282688
9/25/2008,282963
9/25/2008,283178
10/1/2006,283422
11/13/2004,283464
11/13/2004,283777
9/25/2008,284047
9/25/2008,284353
9/25/2008,284542
11/13/2004,284628
9/25/2008,284706
11/13/2004,284736
9/25/2008,284924
9/25/2008,285101
11/13/2004,285194
7/14/1996,285610
11/13/2004,285904
9/25/2008,286035
11/13/2004,286243
9/25/2008,286247
11/13/2004,286524
11/13/2004,286931
10/1/2006,287173
9/25/2008,287364
9/25/2008,287545
11/13/2004,287851
11/13/2004,288313
11/13/2004,288330
9/25/2008,288464
11/13/2004,288497
9/25/2008,288858
9/25/2008,289017
9/25/2008,289492
8/1/2000,289505
9/25/2008,289794
11/13/2004,289800
11/13/2004,289945
11/13/2004,290178
6/20/1992,290272
11/13/2004,290290
11/13/2004,290846
9/25/2008,290849
11/13/2004,291157
9/25/2008,291261
9/25/2008,291388
9/25/2008,291810
9/25/2008,291873
11/13/2004,292169
9/25/2008,292280
8/1/2000,292644
11/13/2004,292657
11/13/2004,292763
10/1/2006,292876
9/25/2008,293105
11/13/2004,293153
9/25/2008,293170
10/1/2006,293236
9/25/2008,293280
10/1/2006,293330
8/1/2000,293430
9/25/2008,293437
10/1/2006,293645
9/25/2008,293770
9/25/2008,293964
10/1/2006,294028
11/13/2004,294218
11/13/2004,294540
11/13/2004,294744
9/25/2008,294902
11/13/2004,295070
10/1/2006,295149
11/13/2004,295257
11/13/2004,295286
12/1/1996,295312
10/1/2006,295455
9/25/2008,295531
11/13/2004,295828
9/25/2008,296070
11/13/2004,296153
11/13/2004,296193
10/1/2006,296412
11/13/2004,296429
11/13/2004,296562
11/13/2004,296616
9/25/2008,296836
10/1/2006,297240
11/13/2004,297641
9/25/2008,297710
11/13/2004,297852
11/13/2004,297898
11/13/2004,297955
11/13/2004,298147
11/13/2004,298286
9/25/2008,298410
9/25/2008,298418
11/13/2004,298790
10/1/2006,298991
11/13/2004,299202
9/25/2008,299312
11/13/2004,299534
11/13/2004,299825
9/25/2008,300168
9/25/2008,300936
11/13/2004,301255
11/13/2004,301389
9/25/2008,301534
9/25/2008,301669
11/13/2004,301733
11/13/2004,301818
9/25/2008,301890
9/25/2008,302399
9/25/2008,302469
9/25/2008,302494
9/25/2008,302547
11/13/2004,302572
11/13/2004,302592
11/13/2004,302665
11/13/2004,302712
11/13/2004,302738
11/13/2004,302776
11/13/2004,302955
9/25/2008,303052
10/1/2006,303739
11/13/2004,303747
11/13/2004,303806
11/13/2004,304207
11/13/2004,304256
11/13/2004,304469
11/13/2004,304685
9/25/2008,304958
9/25/2008,304959
9/25/2008,305067
10/1/2006,305115
9/25/2008,305156
9/25/2008,305368
11/13/2004,305786
10/1/2006,305973
10/1/2006,306033
11/13/2004,306195
11/13/2004,306815
11/13/2004,307079
9/25/2008,307110
11/13/2004,307461
9/25/2008,307514
11/13/2004,308092
10/1/2006,308359
10/1/2006,308757
9/25/2008,308980
9/25/2008,309159
11/13/2004,309282
9/25/2008,309284
11/13/2004,309287
11/13/2004,309360
11/13/2004,309516
9/25/2008,309593
9/25/2008,309656
9/25/2008,309680
11/13/2004,309895
10/1/2006,309991
10/1/2006,310319
10/1/2006,310678
7/14/1996,310757
11/13/2004,310764
7/14/1996,311005
11/13/2004,311063
9/25/2008,311301
9/25/2008,311353
11/13/2004,311519
9/25/2008,311783
11/13/2004,311807
11/13/2004,312045
9/25/2008,312091
9/25/2008,312487
9/25/2008,312928
11/13/2004,313287
9/25/2008,313453
9/25/2008,313708
9/25/2008,313718
8/1/2000,313854
9/25/2008,313944
10/1/2006,314146
11/13/2004,314204
11/13/2004,314407
8/1/2000,314727
9/25/2008,314779
9/25/2008,314795
9/25/2008,314893
11/13/2004,314937
9/25/2008,315156
9/25/2008,315923
11/13/2004,315931
11/13/2004,315953
9/25/2008,316180
9/25/2008,316215
11/13/2004,316440
9/25/2008,316539
11/13/2004,316658
11/13/2004,316850
9/25/2008,317413
11/13/2004,317423
11/13/2004,317470
11/13/2004,317765
11/13/2004,317814
9/25/2008,318123
9/25/2008,318213
11/13/2004,318279
9/25/2008,318709
11/13/2004,319326
11/13/2004,319332
10/1/2006,319368
11/13/2004,319416
11/13/2004,319604
11/13/2004,319705
11/13/2004,319772
9/25/2008,319778
7/14/1996,319920
11/13/2004,320107
11/13/2004,320116
9/25/2008,320255
11/13/2004,320286
9/25/2008,320454
11/13/2004,320455
9/25/2008,320880
9/25/2008,321249
11/13/2004,321412
11/13/2004,321583
10/1/2006,321600
11/13/2004,321801
11/13/2004,321871
10/1/2006,321880
10/1/2006,321980
9/25/2008,322105
9/25/2008,322277
11/13/2004,322627
11/13/2004,322657
11/13/2004,322662
11/13/2004,323096
11/13/2004,323216
11/13/2004,323557
11/13/2004,323633
9/25/2008,323655
11/13/2004,323951
9/25/2008,324150
9/25/2008,324227
11/13/2004,324236
11/13/2004,324415
9/25/2008,324423
11/13/2004,324828
9/25/2008,325189
9/25/2008,325419
11/13/2004,325641
10/1/2006,325904
11/13/2004,326036
9/25/2008,326086
11/13/2004,326186
9/25/2008,326598
9/25/2008,326621
10/1/2006,326738
9/25/2008,326799
10/1/2006,326869
11/13/2004,326927
9/25/2008,326953
11/13/2004,327344
11/13/2004,327702
9/25/2008,327986
11/13/2004,328030
9/25/2008,328211
9/25/2008,328281
9/25/2008,328298
10/1/2006,328429
11/13/2004,328456
11/13/2004,328532
11/13/2004,328704
9/25/2008,328737
11/13/2004,329007
11/13/2004,329365
11/13/2004,329440
10/1/2006,329895
9/25/2008,330080
9/25/2008,330222
9/25/2008,330438
9/25/2008,330461
11/13/2004,330700
9/25/2008,330739
11/13/2004,330815
11/13/2004,331049
9/25/2008,331106
